listing_id,onehot_encoding__room_type_Entire home/apt,onehot_encoding__room_type_Hotel room,onehot_encoding__room_type_Private room,onehot_encoding__room_type_Shared room,ordinal_encoding__neighbourhood_more_than_30,ordinal_encoding__type_of_accommodation,target_encoding__coordinates,numeric__minimum_nights,numeric__number_of_reviews,numeric__days_since_last_review,numeric__reviews_per_month,numeric__calculated_host_listings_count,numeric__availability_365,numeric__score,numeric__number_of_reviews_ltm,numeric__number_of_reviews_ltm_ratio,numeric__number_of_bedrooms,numeric__number_of_beds,numeric__number_of_baths,numeric__imperial_palace_distance,numeric__nearest_convenience_store,numeric__nearest_train_station,numeric__nearest_airport,numeric__nearest_bus_station,numeric__nearest_subway,binary__is_new,binary__is_studio,binary__has_shared_bath,binary__has_half_bath,target
788288907165292793,1.0,0.0,0.0,0.0,19.0,20.0,23629.245919839355,15.0,2.0,150.0,0.38,22.0,128.0,-1.0,2.0,1.0,1.0,2.0,1.0,6321.4133658468845,100.63454923022636,143.06164949889197,1058.040634042083,190.52244828425353,740.0452598292853,0.0,0.0,0.0,0.0,11948.493150684932
788311826005220470,1.0,0.0,0.0,0.0,19.0,14.0,23629.245919839355,1.0,29.0,2.0,4.68,1.0,0.0,4.69,29.0,1.0,3.0,5.0,1.0,4518.547108349136,248.88345419552974,789.6682352700359,1650.8730653613504,425.7092672471985,685.489620959841,0.0,0.0,0.0,0.0,59694.24657534246
788637534268499582,1.0,0.0,0.0,0.0,21.0,14.0,15953.26517303521,2.0,27.0,6.0,5.03,1.0,31.0,4.93,27.0,1.0,3.0,6.0,5.0,10952.845214169623,512.6853481732586,509.26792637498266,9900.411501412145,1417.5137660247976,2225.6497794714874,0.0,0.0,0.0,0.0,23385.205479452055
788667069437514835,1.0,0.0,0.0,0.0,22.0,14.0,20709.12911470047,1.0,19.0,6.0,3.15,1.0,62.0,4.95,19.0,1.0,4.0,5.0,3.0,8161.251629106838,175.43618569065458,365.64396250994025,7108.689238257221,201.51377047065168,567.0108550830089,0.0,0.0,0.0,0.0,63700.27397260274
788741054200544450,1.0,0.0,0.0,0.0,21.0,14.0,19348.79188932592,1.0,14.0,13.0,3.39,1.0,234.0,4.71,14.0,1.0,3.0,5.0,1.0,6952.101777030115,384.87456358162706,536.9215370817582,5899.18081676271,525.8370414809519,747.7865561871562,0.0,0.0,0.0,0.0,27497.534246575342
789531094738282182,1.0,0.0,0.0,0.0,19.0,20.0,23629.245919839355,2.0,11.0,17.0,2.08,4.0,259.0,4.64,11.0,1.0,1.0,3.0,1.0,5274.839304459703,97.00297668630003,480.09149989766917,1263.2653268398979,142.5077232041111,123.98941877166206,0.0,0.0,0.0,0.0,24400.95890410959
789712292396572880,1.0,0.0,0.0,0.0,19.0,20.0,23629.245919839355,31.0,0.0,-1.0,-1.0,2.0,121.0,-1.0,0.0,0.0,4.0,8.0,2.0,5529.803531977282,224.66531441956494,788.6368359723667,1875.248594459224,255.42659489468235,465.51403941300197,0.0,0.0,0.0,0.0,39699.72602739726
789777574187919492,1.0,0.0,0.0,0.0,8.0,20.0,22921.6247862698,2.0,19.0,13.0,3.41,31.0,240.0,5.0,19.0,1.0,1.0,2.0,1.0,12364.319608951953,47.24126509781955,203.4945854368345,10940.505290230207,1504.2296717060383,1543.6405781199626,0.0,0.0,0.0,0.0,19021.342465753423
790070623861487201,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,0.0,-1.0,-1.0,23.0,249.0,-1.0,0.0,0.0,1.0,1.0,1.0,16618.4632014321,310.22429354340636,802.3866877062276,6097.592589999715,579.4023468105977,7190.94543899508,1.0,0.0,0.0,0.0,83903.46575342465
790077287560081970,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,1.0,7.0,1.0,23.0,256.0,-1.0,1.0,1.0,0.0,1.0,1.0,16702.696342217245,504.2228740026155,886.3152217498865,6181.623106062366,663.326586329415,6997.091325899036,1.0,1.0,0.0,0.0,83903.46575342465
790079020645871927,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,0.0,-1.0,-1.0,23.0,261.0,-1.0,0.0,0.0,0.0,1.0,1.0,16694.471333274087,422.1117363475924,878.1891098467618,6173.463883533501,655.2018687348769,7079.155559160122,1.0,1.0,0.0,0.0,83897.7890410959
790082167681987233,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,1.0,4.0,1.0,23.0,232.0,-1.0,1.0,1.0,0.0,1.0,1.0,16391.645878946474,408.78625101808444,575.6152922107251,5870.805818195874,352.63159882079054,7006.054805872912,1.0,1.0,0.0,0.0,83899.92876712329
790083459429164385,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,0.0,-1.0,-1.0,23.0,265.0,-1.0,0.0,0.0,0.0,2.0,1.0,16755.988741794914,447.86596781868786,939.610976208571,6234.9177373103885,716.6223880871836,7053.446640946762,1.0,1.0,0.0,0.0,84080.5698630137
790088738111534577,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,0.0,-1.0,-1.0,23.0,257.0,-1.0,0.0,0.0,0.0,2.0,1.0,16432.600961400367,449.6889254402894,616.5185136678087,5911.726402660538,393.53408911106544,6999.666016964523,1.0,1.0,0.0,0.0,84092.67123287672
790089756011380160,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,0.0,-1.0,-1.0,23.0,247.0,-1.0,0.0,0.0,0.0,1.0,1.0,16584.308407106957,260.4680839889111,768.3237632821504,6063.498907628687,545.3407176223724,7240.658076951992,1.0,1.0,0.0,0.0,83903.46575342465
790090871520337673,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,1.0,11.0,1.0,23.0,258.0,-1.0,1.0,1.0,1.0,1.0,1.0,16416.403979416016,394.3727279396856,600.4565608285197,5895.619242204474,377.4740399920125,7106.735778001688,1.0,0.0,0.0,0.0,83903.46575342465
790091834358806798,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,1.0,2.0,1.0,23.0,234.0,-1.0,1.0,1.0,0.0,2.0,1.0,16700.493501443914,477.4921511625632,884.1440562242783,6179.441335696893,661.155867380063,7023.807025960886,1.0,1.0,0.0,0.0,84092.27945205479
790093452505124342,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,2.0,4.0,2.0,23.0,248.0,-1.0,2.0,1.0,0.0,2.0,1.0,16543.133134594893,559.9896800133835,726.8216837877839,6022.106242770757,503.83403061112364,6901.134104420591,1.0,1.0,0.0,0.0,84097.09589041096
790096770292683203,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,3.0,4.0,3.0,23.0,238.0,4.33,3.0,1.0,1.0,1.0,1.0,16726.332421110757,438.96756109639097,909.9968637080551,6205.289493554062,687.008870662444,7062.325029382643,0.0,0.0,0.0,0.0,84278.4301369863
790099253693035055,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,0.0,-1.0,-1.0,23.0,246.0,-1.0,0.0,0.0,1.0,1.0,1.0,16689.268255994222,374.77885651828694,873.043548324997,6168.29906579598,650.0571181040685,7126.461160703095,1.0,0.0,0.0,0.0,83903.46575342465
790100186783816918,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,2.0,5.0,2.0,23.0,218.0,-1.0,2.0,1.0,1.0,1.0,1.0,16723.45740502414,490.6887516123704,907.0683728456129,6202.378905990729,684.0796258811882,7010.6292006161175,1.0,0.0,0.0,0.0,83903.46575342465
790101191854231907,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,0.0,-1.0,-1.0,23.0,236.0,-1.0,0.0,0.0,1.0,1.0,1.0,16564.560858148303,568.2826346833177,748.2608331648854,6043.541566794018,525.2733410762019,6932.9931036574635,1.0,0.0,0.0,0.0,83903.46575342465
790102974534172429,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,2.0,12.0,2.0,23.0,242.0,-1.0,2.0,1.0,1.0,1.0,1.0,16620.581154660238,320.66936339597794,804.4908864988528,6099.701393762988,581.5063516851084,7180.506892527449,1.0,0.0,0.0,0.0,83901.88219178082
790103887209461520,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,3.0,5.0,2.43,23.0,232.0,4.67,3.0,1.0,1.0,1.0,1.0,16423.528924309132,440.6648612651115,607.4939487514757,5902.685944109617,384.510193485351,7033.931322198787,0.0,0.0,0.0,0.0,83903.46575342465
790108267954162935,1.0,0.0,0.0,0.0,16.0,20.0,74690.92351192505,2.0,5.0,12.0,2.73,23.0,252.0,3.8,5.0,1.0,1.0,1.0,1.0,16442.32971284669,459.39931630393653,626.2290961791631,5921.443068112349,403.2444154660978,6992.808214243807,0.0,0.0,0.0,0.0,84089.4602739726
